S_No,Location,City,Zone_Type,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Base_2019_Day_dB,Base_2019_Night_dB,Zone_Category
2,Perambur,Chennai,Commercial,2022,8,Aug,79.16,69.09,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,9,Sep,79.49,69.19,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,10,Oct,79.44,68.57,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,11,Nov,78.48,67.79,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2022,12,Dec,78.78,68.74,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,1,Jan,80.21,68.7,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,2,Feb,80.39,69.55,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,3,Mar,80.56,69.86,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,4,Apr,81.33,69.54,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,5,May,81.68,70.42,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,6,Jun,81.74,70.42,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,7,Jul,80.21,69.42,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,8,Aug,80.96,69.81,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,9,Sep,80.86,71.14,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,10,Oct,80.49,69.75,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,11,Nov,80.38,69.36,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2023,12,Dec,79.84,69.4,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,1,Jan,80.71,69.81,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,2,Feb,81.06,70.13,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,3,Mar,83.16,69.75,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,4,Apr,82.64,70.05,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,5,May,82.26,71.34,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,6,Jun,82.23,70.27,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,7,Jul,81.54,70.77,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,8,Aug,81.33,70.39,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,9,Sep,81.62,70.04,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,10,Oct,82.27,70.25,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,11,Nov,79.89,69.87,78.5,68.0,Critical
2,Perambur,Chennai,Commercial,2024,12,Dec,80.67,70.14,78.5,68.0,Critical
3,T Nagar,Chennai,Commercial,2020,1,Jan,72.9,65.15,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,2,Feb,73.75,65.75,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,3,Mar,73.6,65.67,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,4,Apr,74.26,65.74,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,5,May,75.58,66.36,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,6,Jun,73.77,66.37,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,7,Jul,75.16,66.21,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,8,Aug,73.14,65.41,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,9,Sep,74.43,65.32,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,10,Oct,73.62,65.61,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,11,Nov,72.64,65.08,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2020,12,Dec,71.58,64.69,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2021,1,Jan,76.67,67.2,80.2,70.5,High
3,T Nagar,Chennai,Commercial,2021,2,Feb,77.82,67.33,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,3,Mar,77.48,68.35,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,4,Apr,78.72,67.93,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,5,May,78.78,68.7,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,6,Jun,77.41,68.68,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,7,Jul,77.7,68.06,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,8,Aug,77.43,67.95,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,9,Sep,77.36,68.36,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,10,Oct,77.69,67.3,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,11,Nov,77.67,66.82,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2021,12,Dec,76.62,67.84,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,1,Jan,80.94,70.75,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,2,Feb,80.9,71.0,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,3,Mar,81.41,71.94,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,4,Apr,82.18,71.52,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,5,May,82.65,72.12,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,6,Jun,82.31,72.05,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,7,Jul,81.19,71.38,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,8,Aug,81.77,71.64,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,9,Sep,81.29,71.45,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,10,Oct,81.54,70.86,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,11,Nov,80.87,70.82,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2022,12,Dec,80.59,71.34,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,1,Jan,82.21,72.03,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,2,Feb,82.65,71.91,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,3,Mar,83.04,72.18,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,4,Apr,83.16,72.45,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,5,May,83.25,72.94,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,6,Jun,82.49,73.34,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,7,Jul,82.1,71.81,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,8,Aug,82.98,72.42,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,9,Sep,82.61,72.35,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,10,Oct,81.89,71.44,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,11,Nov,81.64,71.33,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2023,12,Dec,82.19,71.54,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,1,Jan,82.39,72.27,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,2,Feb,83.21,72.37,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,3,Mar,83.29,73.1,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,4,Apr,84.12,73.0,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,5,May,83.96,73.49,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,6,Jun,83.18,72.64,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,7,Jul,83.24,72.91,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,8,Aug,83.56,73.39,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,9,Sep,83.73,72.74,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,10,Oct,82.89,72.1,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,11,Nov,82.59,72.18,80.2,70.5,Critical
3,T Nagar,Chennai,Commercial,2024,12,Dec,82.86,71.97,80.2,70.5,Critical
4,Triplicane,Chennai,Residential,2020,1,Jan,70.36,60.31,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,2,Feb,70.25,60.06,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,3,Mar,71.35,60.14,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,4,Apr,71.41,60.51,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,5,May,71.55,60.39,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,6,Jun,71.21,60.7,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,7,Jul,71.63,60.68,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,8,Aug,71.78,59.79,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,9,Sep,71.04,60.17,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,10,Oct,71.29,59.48,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,11,Nov,69.48,59.36,74.5,63.0,High
4,Triplicane,Chennai,Residential,2020,12,Dec,68.94,59.39,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,1,Jan,71.72,61.26,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,2,Feb,72.47,62.15,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,3,Mar,73.48,61.57,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,4,Apr,72.85,62.2,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,5,May,72.84,62.93,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,6,Jun,73.79,61.81,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,7,Jul,72.04,62.34,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,8,Aug,72.64,62.1,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,9,Sep,71.8,61.36,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,10,Oct,72.2,61.32,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,11,Nov,71.67,61.35,74.5,63.0,High
4,Triplicane,Chennai,Residential,2021,12,Dec,71.47,61.04,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,1,Jan,74.66,63.31,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,2,Feb,75.16,62.85,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,3,Mar,74.73,64.21,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,4,Apr,75.97,63.6,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,5,May,76.78,64.15,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,6,Jun,76.29,63.93,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,7,Jul,76.43,64.4,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,8,Aug,75.08,63.89,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,9,Sep,75.42,64.05,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,10,Oct,74.22,63.47,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,11,Nov,74.93,62.3,74.5,63.0,High
4,Triplicane,Chennai,Residential,2022,12,Dec,73.91,62.18,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,1,Jan,74.97,63.79,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,2,Feb,76.05,63.73,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,3,Mar,76.81,63.55,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,4,Apr,75.45,64.28,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,5,May,76.69,64.49,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,6,Jun,75.17,64.26,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,7,Jul,75.25,64.37,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,8,Aug,75.88,63.52,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,9,Sep,75.34,63.48,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,10,Oct,75.17,63.98,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,11,Nov,74.41,63.6,74.5,63.0,High
4,Triplicane,Chennai,Residential,2023,12,Dec,74.73,63.08,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,1,Jan,75.85,63.49,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,2,Feb,75.82,63.62,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,3,Mar,77.78,64.51,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,4,Apr,76.75,64.79,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,5,May,77.24,64.81,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,6,Jun,77.31,65.0,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,7,Jul,76.43,64.27,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,8,Aug,76.36,63.38,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,9,Sep,75.64,64.85,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,10,Oct,76.82,63.9,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,11,Nov,75.99,63.92,74.5,63.0,High
4,Triplicane,Chennai,Residential,2024,12,Dec,77.34,64.25,74.5,63.0,High
5,Pallikaranai,Chennai,Commercial,2020,1,Jan,67.04,57.82,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,2,Feb,66.5,58.48,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,3,Mar,67.62,58.23,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,4,Apr,67.98,58.57,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,5,May,69.34,59.55,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,6,Jun,68.2,59.59,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,7,Jul,67.94,58.46,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,8,Aug,68.46,58.82,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,9,Sep,67.08,58.52,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,10,Oct,66.76,57.75,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,11,Nov,67.36,58.86,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2020,12,Dec,66.3,58.33,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,1,Jan,70.27,60.51,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,2,Feb,70.5,60.55,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,3,Mar,71.52,60.97,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,4,Apr,71.94,61.48,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,5,May,71.88,61.34,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,6,Jun,71.41,61.8,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,7,Jul,71.65,60.91,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,8,Aug,71.25,61.4,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,9,Sep,70.27,61.32,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,10,Oct,70.37,61.03,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,11,Nov,70.02,59.88,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2021,12,Dec,69.69,60.62,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,1,Jan,74.73,63.64,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,2,Feb,75.12,63.54,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,3,Mar,75.47,64.12,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,4,Apr,75.47,64.82,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,5,May,75.57,64.85,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,6,Jun,76.2,64.57,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,7,Jul,75.82,64.15,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,8,Aug,75.46,64.98,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,9,Sep,73.86,64.08,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,10,Oct,74.99,64.02,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,11,Nov,74.59,63.66,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2022,12,Dec,74.54,63.84,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,1,Jan,76.18,64.8,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,2,Feb,75.97,64.74,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,3,Mar,76.26,65.13,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,4,Apr,77.0,65.33,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,5,May,77.14,66.53,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,6,Jun,77.14,65.37,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,7,Jul,77.0,65.14,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,8,Aug,75.18,64.7,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,9,Sep,75.16,64.96,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,10,Oct,75.71,65.47,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,11,Nov,75.56,64.51,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2023,12,Dec,75.91,63.72,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,1,Jan,76.72,65.71,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,2,Feb,76.06,66.06,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,3,Mar,77.67,65.83,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,4,Apr,78.12,67.11,74.0,63.5,Critical
5,Pallikaranai,Chennai,Commercial,2024,5,May,78.09,66.5,74.0,63.5,Critical
5,Pallikaranai,Chennai,Commercial,2024,6,Jun,77.47,65.86,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,7,Jul,77.82,65.66,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,8,Aug,77.24,65.61,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,9,Sep,77.34,65.93,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,10,Oct,77.22,65.3,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,11,Nov,76.27,64.91,74.0,63.5,High
5,Pallikaranai,Chennai,Commercial,2024,12,Dec,76.28,65.45,74.0,63.5,High
6,Velachery,Chennai,Residential,2020,1,Jan,71.98,61.33,76.0,65.0,High
6,Velachery,Chennai,Residential,2020,2,Feb,72.23,62.44,76.0,65.0,High
6,Velachery,Chennai,Residential,2020,3,Mar,72.71,63.05,76.0,65.0,High
6,Velachery,Chennai,Residential,2020,4,Apr,72.41,62.0,76.0,65.0,High
6,Velachery,Chennai,Residential,2020,5,May,72.11,63.3,76.0,65.0,High
6,Velachery,Chennai,Residential,2020,6,Jun,73.03,62.48,76.0,65.0,High
