S_No,Location,Zone_Type,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Base_2008_Day_dB,Base_2008_Night_dB,Zone_Category
4,Badli,Industrial,2020,1,Jan,64.52,58.19,59.69,52.66,High
4,Badli,Industrial,2020,2,Feb,64.47,57.95,59.69,52.66,High
4,Badli,Industrial,2020,3,Mar,65.29,58.01,59.69,52.66,High
4,Badli,Industrial,2020,4,Apr,65.4,58.33,59.69,52.66,High
4,Badli,Industrial,2020,5,May,65.65,58.3,59.69,52.66,High
4,Badli,Industrial,2020,6,Jun,65.82,58.88,59.69,52.66,High
4,Badli,Industrial,2020,7,Jul,66.19,58.92,59.69,52.66,High
4,Badli,Industrial,2020,8,Aug,66.17,58.2,59.69,52.66,High
4,Badli,Industrial,2020,9,Sep,65.46,58.29,59.69,52.66,High
4,Badli,Industrial,2020,10,Oct,66.19,58.19,59.69,52.66,High
4,Badli,Industrial,2020,11,Nov,64.67,57.95,59.69,52.66,High
4,Badli,Industrial,2020,12,Dec,63.66,57.67,59.69,52.66,High
4,Badli,Industrial,2021,1,Jan,66.51,59.78,59.69,52.66,High
4,Badli,Industrial,2021,2,Feb,67.15,60.39,59.69,52.66,High
4,Badli,Industrial,2021,3,Mar,67.89,59.96,59.69,52.66,High
4,Badli,Industrial,2021,4,Apr,67.45,60.48,59.69,52.66,High
4,Badli,Industrial,2021,5,May,67.58,61.08,59.69,52.66,High
4,Badli,Industrial,2021,6,Jun,68.78,60.59,59.69,52.66,High
4,Badli,Industrial,2021,7,Jul,67.42,61.04,59.69,52.66,High
4,Badli,Industrial,2021,8,Aug,67.76,60.8,59.69,52.66,High
4,Badli,Industrial,2021,9,Sep,66.97,60.05,59.69,52.66,High
4,Badli,Industrial,2021,10,Oct,67.81,60.44,59.69,52.66,High
4,Badli,Industrial,2021,11,Nov,67.33,60.32,59.69,52.66,High
4,Badli,Industrial,2021,12,Dec,66.58,59.79,59.69,52.66,High
4,Badli,Industrial,2022,1,Jan,70.16,62.08,59.69,52.66,Critical
4,Badli,Industrial,2022,2,Feb,70.59,61.69,59.69,52.66,Critical
4,Badli,Industrial,2022,3,Mar,70.2,62.71,59.69,52.66,Critical
4,Badli,Industrial,2022,4,Apr,71.24,62.31,59.69,52.66,Critical
4,Badli,Industrial,2022,5,May,72.03,62.76,59.69,52.66,Critical
4,Badli,Industrial,2022,6,Jun,72.08,62.95,59.69,52.66,Critical
4,Badli,Industrial,2022,7,Jul,72.23,63.36,59.69,52.66,Critical
4,Badli,Industrial,2022,8,Aug,71.01,62.92,59.69,52.66,Critical
4,Badli,Industrial,2022,9,Sep,71.17,62.84,59.69,52.66,Critical
4,Badli,Industrial,2022,10,Oct,70.72,62.84,59.69,52.66,Critical
4,Badli,Industrial,2022,11,Nov,71.23,61.8,59.69,52.66,Critical
4,Badli,Industrial,2022,12,Dec,69.84,61.42,59.69,52.66,High
4,Badli,Industrial,2023,1,Jan,70.7,62.75,59.69,52.66,Critical
4,Badli,Industrial,2023,2,Feb,71.61,62.65,59.69,52.66,Critical
4,Badli,Industrial,2023,3,Mar,72.16,62.52,59.69,52.66,Critical
4,Badli,Industrial,2023,4,Apr,71.13,63.11,59.69,52.66,Critical
4,Badli,Industrial,2023,5,May,72.26,63.32,59.69,52.66,Critical
4,Badli,Industrial,2023,6,Jun,71.48,63.5,59.69,52.66,Critical
4,Badli,Industrial,2023,7,Jul,71.59,63.63,59.69,52.66,Critical
4,Badli,Industrial,2023,8,Aug,71.96,62.95,59.69,52.66,Critical
4,Badli,Industrial,2023,9,Sep,71.4,62.71,59.69,52.66,Critical
4,Badli,Industrial,2023,10,Oct,71.78,63.52,59.69,52.66,Critical
4,Badli,Industrial,2023,11,Nov,71.12,63.08,59.69,52.66,Critical
4,Badli,Industrial,2023,12,Dec,70.8,62.39,59.69,52.66,Critical
4,Badli,Industrial,2024,1,Jan,71.57,62.62,59.69,52.66,Critical
4,Badli,Industrial,2024,2,Feb,71.59,62.67,59.69,52.66,Critical
4,Badli,Industrial,2024,3,Mar,73.1,63.34,59.69,52.66,Critical
4,Badli,Industrial,2024,4,Apr,72.33,63.59,59.69,52.66,Critical
4,Badli,Industrial,2024,5,May,72.87,63.66,59.69,52.66,Critical
4,Badli,Industrial,2024,6,Jun,73.36,64.16,59.69,52.66,Critical
4,Badli,Industrial,2024,7,Jul,72.7,63.66,59.69,52.66,Critical
4,Badli,Industrial,2024,8,Aug,72.5,62.94,59.69,52.66,Critical
4,Badli,Industrial,2024,9,Sep,71.8,63.84,59.69,52.66,Critical
4,Badli,Industrial,2024,10,Oct,73.27,63.56,59.69,52.66,Critical
4,Badli,Industrial,2024,11,Nov,72.54,63.42,59.69,52.66,Critical
4,Badli,Industrial,2024,12,Dec,73.04,63.37,59.69,52.66,Critical
5,Braham Puri,Industrial,2020,1,Jan,63.42,58.31,58.97,53.4,High
5,Braham Puri,Industrial,2020,2,Feb,63.03,58.76,58.97,53.4,High
5,Braham Puri,Industrial,2020,3,Mar,63.87,58.57,58.97,53.4,High
5,Braham Puri,Industrial,2020,4,Apr,64.21,58.88,58.97,53.4,High
5,Braham Puri,Industrial,2020,5,May,65.44,59.66,58.97,53.4,High
5,Braham Puri,Industrial,2020,6,Jun,64.97,60.04,58.97,53.4,High
5,Braham Puri,Industrial,2020,7,Jul,64.8,59.24,58.97,53.4,High
5,Braham Puri,Industrial,2020,8,Aug,65.08,59.46,58.97,53.4,High
5,Braham Puri,Industrial,2020,9,Sep,63.86,59.04,58.97,53.4,High
5,Braham Puri,Industrial,2020,10,Oct,64.12,58.89,58.97,53.4,High
5,Braham Puri,Industrial,2020,11,Nov,64.54,59.57,58.97,53.4,High
5,Braham Puri,Industrial,2020,12,Dec,63.11,58.87,58.97,53.4,High
5,Braham Puri,Industrial,2021,1,Jan,65.71,60.45,58.97,53.4,High
5,Braham Puri,Industrial,2021,2,Feb,65.93,60.44,58.97,53.4,High
5,Braham Puri,Industrial,2021,3,Mar,66.69,60.75,58.97,53.4,High
5,Braham Puri,Industrial,2021,4,Apr,67.08,61.18,58.97,53.4,High
5,Braham Puri,Industrial,2021,5,May,67.17,61.13,58.97,53.4,High
5,Braham Puri,Industrial,2021,6,Jun,67.24,61.83,58.97,53.4,High
5,Braham Puri,Industrial,2021,7,Jul,67.47,61.21,58.97,53.4,High
5,Braham Puri,Industrial,2021,8,Aug,67.01,61.53,58.97,53.4,High
5,Braham Puri,Industrial,2021,9,Sep,66.1,61.26,58.97,53.4,High
5,Braham Puri,Industrial,2021,10,Oct,66.7,61.47,58.97,53.4,High
5,Braham Puri,Industrial,2021,11,Nov,66.36,60.46,58.97,53.4,High
5,Braham Puri,Industrial,2021,12,Dec,65.52,60.71,58.97,53.4,High
5,Braham Puri,Industrial,2022,1,Jan,69.37,62.53,58.97,53.4,High
5,Braham Puri,Industrial,2022,2,Feb,69.73,62.4,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,3,Mar,69.94,62.84,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,4,Apr,70.01,63.41,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,5,May,70.23,63.48,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,6,Jun,71.17,63.63,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,7,Jul,70.9,63.36,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,8,Aug,70.48,63.93,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,9,Sep,69.08,63.06,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,10,Oct,70.5,63.44,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,11,Nov,70.12,63.02,58.97,53.4,Critical
5,Braham Puri,Industrial,2022,12,Dec,69.5,62.85,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,1,Jan,70.44,63.48,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,2,Feb,70.31,63.38,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,3,Mar,70.47,63.67,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,4,Apr,71.13,63.87,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,5,May,71.39,64.82,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,6,Jun,71.82,64.3,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,7,Jul,71.75,64.18,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,8,Aug,70.15,63.8,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,9,Sep,70.02,63.79,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,10,Oct,70.98,64.6,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,11,Nov,70.8,63.73,58.97,53.4,Critical
5,Braham Puri,Industrial,2023,12,Dec,70.5,62.84,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,1,Jan,70.86,64.03,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,2,Feb,70.38,64.24,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,3,Mar,71.61,64.08,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,4,Apr,72.02,65.08,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,5,May,72.14,64.67,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,6,Jun,72.09,64.55,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,7,Jul,72.4,64.44,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,8,Aug,71.8,64.36,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,9,Sep,71.76,64.4,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,10,Oct,72.19,64.35,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,11,Nov,71.36,63.91,58.97,53.4,Critical
5,Braham Puri,Industrial,2024,12,Dec,70.79,64.01,58.97,53.4,Critical
6,Daryaganj,Commercial,2020,1,Jan,66.46,59.14,62.53,54.94,High
6,Daryaganj,Commercial,2020,2,Feb,66.71,59.93,62.53,54.94,High
6,Daryaganj,Commercial,2020,3,Mar,67.03,60.38,62.53,54.94,High
6,Daryaganj,Commercial,2020,4,Apr,66.85,59.65,62.53,54.94,High
6,Daryaganj,Commercial,2020,5,May,66.75,60.67,62.53,54.94,High
6,Daryaganj,Commercial,2020,6,Jun,67.92,60.4,62.53,54.94,High
6,Daryaganj,Commercial,2020,7,Jul,67.57,59.98,62.53,54.94,High
6,Daryaganj,Commercial,2020,8,Aug,68.14,60.16,62.53,54.94,High
6,Daryaganj,Commercial,2020,9,Sep,67.0,60.14,62.53,54.94,High
6,Daryaganj,Commercial,2020,10,Oct,67.35,60.19,62.53,54.94,High
6,Daryaganj,Commercial,2020,11,Nov,66.54,59.96,62.53,54.94,High
6,Daryaganj,Commercial,2020,12,Dec,67.11,59.92,62.53,54.94,High
6,Daryaganj,Commercial,2021,1,Jan,70.3,61.77,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,2,Feb,69.46,61.98,62.53,54.94,High
6,Daryaganj,Commercial,2021,3,Mar,70.38,62.65,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,4,Apr,69.98,62.98,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,5,May,70.9,62.59,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,6,Jun,70.76,62.42,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,7,Jul,71.29,62.84,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,8,Aug,70.14,62.23,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,9,Sep,70.33,62.92,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,10,Oct,70.56,62.17,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,11,Nov,70.26,62.24,62.53,54.94,Critical
6,Daryaganj,Commercial,2021,12,Dec,68.78,62.0,62.53,54.94,High
6,Daryaganj,Commercial,2022,1,Jan,73.57,64.93,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,2,Feb,74.6,65.16,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,3,Mar,74.25,64.79,62.53,54.94,Critical
