Location,Jun2008_Day,Jun2008_Night,Jul2008_Day,Jul2008_Night,Aug2008_Day,Aug2008_Night,Sep2008_Day,Sep2008_Night,Oct2008_Day,Oct2008_Night,Nov2008_Day,Nov2008_Night,Dec2008_Day,Dec2008_Night,Jan2009_Day,Jan2009_Night,Avg_Day_Noise,Avg_Night_Noise,Overall_Avg_Noise,Max_Noise,Min_Noise,Noise_Range,Day_Night_Diff,Noise_Std,Day_Std,Night_Std,Standard_Zone,Zone_Category,Latitude,Longitude
Lajpat Nagar,63.6,61.8,64.6,62.3,63.6,61.5,62.5,55.9,61.9,55.5,63.1,53.1,61.3,55.1,61.2,51.9,62.725,57.1375,59.93125,64.6,51.9,12.7,5.5875,4.120472263,1.211551544,4.132082664,High,Critical,28.5660924,77.2432851
Lawrence Road,59,50.9,59.7,52.2,59.1,52.6,62.4,53.2,62.375,54.415,61.4,56.8,62.3,56.5,62.4,49,61.084375,53.201875,57.143125,62.4,49,13.4,7.8825,4.582976425,1.55396598,2.662335089,High,Low,28.6927777,77.1581966
Mandavali,61.7,56.5,63.2,56.6,62.4,55.1,62,57.2,61.6,54.2,63,56.9,59.3,51.3,60.9,52.7,61.7625,55.0625,58.4125,63.2,51.3,11.9,6.7,3.858475519,1.24778375,2.166588826,High,High,28.6364,77.2953
Mangol Puri,62.8,56.2,61.6,55.9,62.5,55.9,63.6,56.8,62.375,54.415,61.4,56.8,61.3,54.3,62.6,57.6,62.271875,55.989375,59.130625,63.6,54.3,9.3,6.2825,3.381812569,0.790053965,1.152718642,High,Critical,28.6978392,77.0955864
Meera Bagh,60,52,59.4,51.6,60.2,52,61.4,54.8,62.375,54.415,61,56.9,62.8,56.2,60.5,52.5,60.959375,53.801875,57.380625,62.8,51.6,11.2,7.1575,4.036540134,1.178826406,2.061836798,High,Moderate,28.658844,77.0908475
Mehrauli,61.3,55.1,62.3,58,62.7,53.4,63.9,54.3,61.1,51.2,60.5,56.8,60.9,57.8,62.7,55.4,61.925,55.25,58.5875,63.9,51.2,12.7,6.675,3.871756707,1.158508894,2.306512519,High,High,28.5218262,77.1783232
Moti Bagh,59.3,52.4,58.2,52.2,58.7,51.8,62.1,53,61.6,52.9,62.4,51.3,58.7,52.2,58.6,47.7,59.95,51.6875,55.81875,62.4,47.7,14.7,8.2625,4.583625748,1.763924197,1.702466698,High,Low,28.5819215,77.1727967
Moti Nagar,61.2,57.8,60.9,54.2,61.9,57.9,61,52.5,62.375,54.415,62.9,54.8,62.9,54.8,59.5,53.5,61.584375,54.989375,58.286875,62.9,52.5,10.4,6.595,3.73520275,1.164269966,1.920242614,High,High,28.657859,77.1424288
Mukherji Nagar,61.7,55.5,61,56.2,62.2,55.9,64.8,56.4,61.6,50.7,61.8,53.8,61.1,55.6,62.8,56.2,62.125,55.0375,58.58125,64.8,50.7,14.1,7.0875,3.97998639,1.224453231,1.933861791,High,High,28.7057279,77.213725
Nand Nagri,60.6,55.8,59.7,55,60.3,55.4,61.9,53.9,61.4,56.1,62.4,55.7,60.6,55.8,59.4,55.9,60.7875,55.45,58.11875,62.4,53.9,8.5,5.3375,2.888187148,1.043945127,0.711135912,High,Moderate,28.697809,77.3057011
Naraouji Nagar,60.5,52.6,60.5,55.6,60.9,53.7,61.9,56.1,62.6,51.6,62.9,56.6,60.7,52.8,59.6,51.6,61.2,53.825,57.5125,62.9,51.6,11.3,7.375,4.12534847,1.147668444,2.017601122,High,Moderate,28.59,77.18
New Friends Colony,60.1,53.2,62.8,56.5,62.2,53.5,62.9,55.2,63.1,55.6,61.8,56.7,61.3,56.2,59.2,53.5,61.675,55.05,58.3625,63.1,53.2,9.9,6.625,3.688698958,1.405855103,1.449137675,High,High,28.5671008,77.2697643
Pahar Ganj,63.6,60.4,63.1,57.6,67,59.1,63.8,59.2,62.375,54.415,61.9,55.4,62.7,60.1,62.6,57.6,63.384375,57.976875,60.680625,67,54.415,12.585,5.4075,3.340567255,1.589189905,2.16293276,High,Critical,28.6398522,77.2130306
Paschim Vihar,57.4,51.7,57.9,54.1,59.2,51.8,61.3,53.9,62.375,54.415,62.2,54.7,57.8,51.4,59.9,48.4,59.759375,52.551875,56.155625,62.375,48.4,13.975,7.2075,4.229384067,2.013079442,2.143285091,High,Low,28.6695782,77.095956
Patel Nagar,57.6,48.7,59.6,52.3,58,48.6,61.7,55.4,62.375,54.415,62.1,55.5,56.8,48.3,60.2,50.5,59.796875,51.714375,55.755625,62.375,48.3,14.075,8.0825,4.909768112,2.164999072,3.104595025,High,Low,28.6450127,77.1692817
Prehladpur,63,59.1,59.4,54.5,62.4,57,61.9,56.1,61.6,52.9,62.8,52.8,60.5,57.6,61.7,56.5,61.6625,55.8125,58.7375,63,52.8,10.2,5.85,3.486139221,1.20467838,2.243999936,High,High,28.54,77.3
R.K. Puram,60.2,55.7,60.4,57.1,60.6,55.5,62,55.6,63.1,55,59,51.6,59.6,53.4,58.7,49.1,60.45,54.125,57.2875,63.1,49.1,14,6.325,3.862102191,1.483239697,2.627192962,High,Moderate,28.5503805,77.1855231
Rajpura Road,62.1,52.5,60.2,52.3,62.4,52.8,63.8,57.2,63.3,53,59.2,52.7,60.2,51.6,57.6,48.7,61.1,52.6,56.85,63.8,48.7,15.1,8.5,4.892034342,2.148088852,2.32009852,High,Low,28.6864743,77.1949101
Rana Pratap Bagh,61,51.4,60.3,50.8,61.8,52.9,63.6,56.8,62.375,54.415,62.4,52.1,60.6,51.2,59.3,52.4,61.421875,52.751875,57.086875,63.6,50.8,12.8,8.67,4.77362262,1.381861936,1.991757905,High,Low,28.6867059,77.1907813
Rohini,64,54.3,61.1,53.5,62.3,53.4,63.5,54.7,62.375,54.415,61.7,56.8,63.3,53.9,64,57.4,62.784375,54.801875,58.793125,64,53.4,10.6,7.9825,4.310128333,1.078932798,1.494188594,High,High,28.7162092,77.1170743
Sarita Vihar,69,59.1,60.4,51.7,67.2,58,62.8,54.3,63.3,56.5,63,55.5,60.5,52,63.6,54.3,63.725,55.175,59.45,69,51.7,17.3,8.55,5.191531566,2.998451982,2.643995894,High,Critical,28.5334785,77.2935232
Shalimar Bagh,62.6,57.6,63.3,57.6,61.7,54.8,63.8,54.3,62.375,54.415,62,54.8,62.4,55.2,61.7,55.7,62.484375,55.551875,59.018125,63.8,54.3,9.5,6.9325,3.729679108,0.745814212,1.33767906,High,Critical,28.7019574,77.1654317
Shanti Vihar,61.3,55.1,65.9,56,59.7,48.3,63.1,59.2,62.375,54.415,63,55.5,58.6,47.7,59.1,47.5,61.634375,52.964375,57.299375,65.9,47.5,18.4,8.67,5.677081667,2.456512391,4.480466683,High,Moderate,28.6516764,77.300215
Tilak Nagar,62.1,54.9,61.5,54.5,62.2,54.9,65,55.6,62.375,54.415,60.5,53.9,59.4,53.5,59.2,48.4,61.534375,53.764375,57.649375,65,48.4,16.6,7.77,4.485724347,1.872972118,2.260785953,High,Moderate,28.6365482,77.0964961
Tughlakabad,61.4725,54.955,61.0175,54.8075,61.4125,54.4725,62.6625,55.5275,62.375,54.415,62.2,52.6,61,52.5,61.3,48.5,61.68,53.4721875,57.57609375,62.6625,48.5,14.1625,8.2078125,4.53781096,0.641321181,2.284235742,High,Moderate,28.5025432,77.2993825
Vasant Kunj,62.9,58.6,63.5,58.9,61.7,56.6,61.8,56.8,61.6,55.2,63.5,58.9,61.9,54.9,59.5,55.8,62.05,56.9625,59.50625,63.5,54.9,8.6,5.0875,2.993653008,1.300549334,1.650054112,High,Critical,28.5292495,77.1541335
Yamuna Vihar,59.6,51.6,59.9,51.3,60.1,52.5,62.7,51.8,63,53.9,63.8,51.3,58.6,51.2,59.9,51.1,60.95,51.8375,56.39375,63.8,51.1,12.7,9.1125,4.926725586,1.914605517,0.947081985,High,Low,28.700372,77.2727728
