S_No,Location,City,Zone_Type,DPCC_Day_Std_dB,DPCC_Night_Std_dB,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Excess_Day_dB,Excess_Night_dB,Zone_Category
2,Anand Vihar,Delhi,Commercial,65,55,2022,6,Jun,72.93,63.74,7.93,8.74,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,7,Jul,72.76,62.73,7.76,7.73,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,8,Aug,72.03,62.8,7.03,7.8,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,9,Sep,72.04,62.74,7.04,7.74,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,10,Oct,72.42,62.79,7.42,7.79,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,11,Nov,71.79,62.2,6.79,7.2,High
2,Anand Vihar,Delhi,Commercial,65,55,2022,12,Dec,71.29,62.27,6.29,7.27,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,1,Jan,72.15,62.35,7.15,7.35,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,2,Feb,72.34,62.88,7.34,7.88,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,3,Mar,72.68,63.23,7.68,8.23,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,4,Apr,73.31,63.17,8.31,8.17,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,5,May,73.69,63.71,8.69,8.71,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,6,Jun,74.07,64.01,9.07,9.01,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,7,Jul,73.06,63.31,8.06,8.31,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,8,Aug,73.23,63.4,8.23,8.4,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,9,Sep,73.03,63.97,8.03,8.97,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,10,Oct,73.24,63.63,8.24,8.63,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,11,Nov,73.04,63.23,8.04,8.23,High
2,Anand Vihar,Delhi,Commercial,65,55,2023,12,Dec,72.12,62.85,7.12,7.85,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,1,Jan,72.81,63.25,7.81,8.25,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,2,Feb,73.08,63.52,8.08,8.52,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,3,Mar,74.38,63.53,9.38,8.53,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,4,Apr,74.37,63.78,9.37,8.78,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,5,May,74.38,64.52,9.38,9.52,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,6,Jun,74.72,64.28,9.72,9.28,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,7,Jul,74.12,64.34,9.12,9.34,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,8,Aug,73.82,64.04,8.82,9.04,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,9,Sep,73.81,63.77,8.81,8.77,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,10,Oct,74.54,64.23,9.54,9.23,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,11,Nov,73.19,63.84,8.19,8.84,High
2,Anand Vihar,Delhi,Commercial,65,55,2024,12,Dec,72.93,63.57,7.93,8.57,High
3,Pahar Ganj,Delhi,Commercial,65,55,2020,1,Jan,66.5,58.18,1.5,3.18,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,2,Feb,67.03,58.57,2.03,3.57,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,3,Mar,67.2,58.73,2.2,3.73,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,4,Apr,67.78,58.87,2.78,3.87,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,5,May,68.64,59.28,3.64,4.28,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,6,Jun,68.08,59.58,3.08,4.58,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,7,Jul,68.53,59.31,3.53,4.31,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,8,Aug,67.32,58.8,2.32,3.8,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,9,Sep,67.82,58.66,2.82,3.66,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,10,Oct,67.81,59.15,2.81,4.15,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,11,Nov,67.17,58.69,2.17,3.69,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2020,12,Dec,65.99,58.1,0.99,3.1,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2021,1,Jan,68.64,59.35,3.64,4.35,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2021,2,Feb,69.31,59.51,4.31,4.51,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2021,3,Mar,69.39,60.23,4.39,5.23,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,4,Apr,70.26,60.11,5.26,5.11,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,5,May,70.49,60.6,5.49,5.6,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,6,Jun,70.15,60.89,5.15,5.89,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,7,Jul,70.05,60.38,5.05,5.38,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,8,Aug,69.72,60.22,4.72,5.22,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,9,Sep,69.53,60.33,4.53,5.33,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,10,Oct,70.1,60.15,5.1,5.15,High
3,Pahar Ganj,Delhi,Commercial,65,55,2021,11,Nov,69.93,59.71,4.93,4.71,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2021,12,Dec,68.76,59.82,3.76,4.82,Moderate
3,Pahar Ganj,Delhi,Commercial,65,55,2022,1,Jan,70.17,60.68,5.17,5.68,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,2,Feb,70.25,60.9,5.25,5.9,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,3,Mar,70.75,61.57,5.75,6.57,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,4,Apr,71.39,61.46,6.39,6.46,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,5,May,71.82,61.86,6.82,6.86,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,6,Jun,72.0,62.13,7.0,7.13,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,7,Jul,71.19,61.59,6.19,6.59,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,8,Aug,71.29,61.62,6.29,6.62,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,9,Sep,70.89,61.42,5.89,6.42,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,10,Oct,71.42,61.48,6.42,6.48,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,11,Nov,70.94,61.26,5.94,6.26,High
3,Pahar Ganj,Delhi,Commercial,65,55,2022,12,Dec,70.15,61.12,5.15,6.12,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,1,Jan,71.11,61.56,6.11,6.56,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,2,Feb,71.43,61.6,6.43,6.6,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,3,Mar,71.87,61.94,6.87,6.94,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,4,Apr,72.18,62.17,7.18,7.17,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,5,May,72.42,62.52,7.42,7.52,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,6,Jun,72.4,63.02,7.4,8.02,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,7,Jul,71.95,62.06,6.95,7.06,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,8,Aug,72.19,62.26,7.19,7.26,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,9,Sep,71.86,62.13,6.86,7.13,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,10,Oct,71.9,62.02,6.9,7.02,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,11,Nov,71.62,61.76,6.62,6.76,High
3,Pahar Ganj,Delhi,Commercial,65,55,2023,12,Dec,71.24,61.47,6.24,6.47,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,1,Jan,71.59,62.04,6.59,7.04,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,2,Feb,72.1,62.19,7.1,7.19,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,3,Mar,72.39,62.75,7.39,7.75,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,4,Apr,73.06,62.8,8.06,7.8,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,5,May,73.18,63.15,8.18,8.15,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,6,Jun,73.14,63.02,8.14,8.02,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,7,Jul,72.92,62.96,7.92,7.96,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,8,Aug,72.88,63.1,7.88,8.1,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,9,Sep,72.81,62.67,7.81,7.67,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,10,Oct,72.8,62.7,7.8,7.7,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,11,Nov,72.5,62.54,7.5,7.54,High
3,Pahar Ganj,Delhi,Commercial,65,55,2024,12,Dec,71.98,62.03,6.98,7.03,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,1,Jan,65.63,57.91,0.63,2.91,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,2,Feb,65.67,57.88,0.67,2.88,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,3,Mar,66.47,58.12,1.47,3.12,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,4,Apr,66.76,58.4,1.76,3.4,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,5,May,67.02,58.45,2.02,3.45,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,6,Jun,67.21,58.9,2.21,3.9,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,7,Jul,67.16,58.69,2.16,3.69,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,8,Aug,67.04,58.15,2.04,3.15,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,9,Sep,66.52,58.24,1.52,3.24,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,10,Oct,67.05,58.24,2.05,3.24,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,11,Nov,65.99,57.98,0.99,2.98,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2020,12,Dec,65.07,57.59,0.07,2.59,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,1,Jan,67.31,59.03,2.31,4.03,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,2,Feb,67.79,59.58,2.79,4.58,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,3,Mar,68.54,59.48,3.54,4.48,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,4,Apr,68.48,59.9,3.48,4.9,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,5,May,68.67,60.37,3.67,5.37,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,6,Jun,69.49,60.11,4.49,5.11,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,7,Jul,68.37,60.17,3.37,5.17,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,8,Aug,68.47,59.95,3.47,4.95,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,9,Sep,67.9,59.48,2.9,4.48,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,10,Oct,68.5,59.81,3.5,4.81,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,11,Nov,68.09,59.62,3.09,4.62,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2021,12,Dec,67.33,59.07,2.33,4.07,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,1,Jan,68.93,60.3,3.93,5.3,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,2,Feb,69.28,60.18,4.28,5.18,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,3,Mar,69.32,61.06,4.32,6.06,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,4,Apr,70.18,60.85,5.18,5.85,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,5,May,70.79,61.22,5.79,6.22,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,6,Jun,70.89,61.41,5.89,6.41,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,7,Jul,70.72,61.45,5.72,6.45,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,8,Aug,69.84,61.09,4.84,6.09,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,9,Sep,69.86,61.07,4.86,6.07,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,10,Oct,69.66,61.14,4.66,6.14,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,11,Nov,69.86,60.35,4.86,5.35,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2022,12,Dec,68.7,59.89,3.7,4.89,Moderate
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,1,Jan,69.63,60.94,4.63,5.94,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,2,Feb,70.28,61.01,5.28,6.01,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,3,Mar,70.91,61.12,5.91,6.12,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,4,Apr,70.47,61.59,5.47,6.59,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,5,May,71.3,61.79,6.3,6.79,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,6,Jun,70.88,61.98,5.88,6.98,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,7,Jul,70.67,61.83,5.67,6.83,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,8,Aug,70.79,61.31,5.79,6.31,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,9,Sep,70.37,61.19,5.37,6.19,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,10,Oct,70.68,61.79,5.68,6.79,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,11,Nov,70.15,61.4,5.15,6.4,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2023,12,Dec,69.67,60.74,4.67,5.74,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,1,Jan,70.57,61.29,5.57,6.29,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,2,Feb,70.66,61.46,5.66,6.46,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,3,Mar,71.89,62.11,6.89,7.11,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,4,Apr,71.63,62.34,6.63,7.34,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,5,May,72.07,62.46,7.07,7.46,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,6,Jun,72.45,62.85,7.45,7.85,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,7,Jul,71.77,62.28,6.77,7.28,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,8,Aug,71.53,61.74,6.53,6.74,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,9,Sep,71.02,62.37,6.02,7.37,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,10,Oct,72.01,62.25,7.01,7.25,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,11,Nov,71.44,62.06,6.44,7.06,High
4,Lajpat Nagar,Delhi,Commercial,65,55,2024,12,Dec,71.47,61.82,6.47,6.82,High
5,Daryaganj,Delhi,Commercial,65,55,2020,1,Jan,64.87,56.21,-0.13,1.21,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,2,Feb,64.7,56.64,-0.3,1.64,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,3,Mar,65.51,56.72,0.51,1.72,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,4,Apr,65.94,56.98,0.94,1.98,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,5,May,66.82,57.58,1.82,2.58,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,6,Jun,66.6,57.9,1.6,2.9,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,7,Jul,66.22,57.13,1.22,2.13,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,8,Aug,66.28,57.21,1.28,2.21,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,9,Sep,65.44,56.96,0.44,1.96,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,10,Oct,65.68,56.92,0.68,1.92,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,11,Nov,65.83,57.28,0.83,2.28,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2020,12,Dec,64.65,56.61,-0.35,1.61,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,1,Jan,66.74,57.7,1.74,2.7,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,2,Feb,66.95,57.83,1.95,2.83,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,3,Mar,67.71,58.23,2.71,3.23,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,4,Apr,68.17,58.59,3.17,3.59,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,5,May,68.34,58.62,3.34,3.62,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,6,Jun,68.46,59.15,3.46,4.15,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,7,Jul,68.33,58.5,3.33,3.5,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,8,Aug,67.92,58.65,2.92,3.65,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,9,Sep,67.28,58.51,2.28,3.51,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,10,Oct,67.73,58.71,2.73,3.71,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,11,Nov,67.41,57.94,2.41,2.94,Moderate
5,Daryaganj,Delhi,Commercial,65,55,2021,12,Dec,66.59,57.91,1.59,2.91,Moderate
