S_No,Location,City,Zone_Type,CPCB_Day_Std_dB,CPCB_Night_Std_dB,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Excess_Day_dB,Excess_Night_dB,Zone_Category
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,5,May,78.4,69.75,13.4,14.75,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,6,Jun,77.19,68.46,12.19,13.46,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,7,Jul,77.36,68.49,12.36,13.49,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,8,Aug,76.64,68.63,11.64,13.63,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,9,Sep,77.01,68.96,12.01,13.96,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,10,Oct,78.15,68.94,13.15,13.94,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,11,Nov,78.29,69.38,13.29,14.38,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2021,12,Dec,78.45,69.78,13.45,14.78,High
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,1,Jan,80.43,71.15,15.43,16.15,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,2,Feb,80.03,70.94,15.03,15.94,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,3,Mar,80.48,71.27,15.48,16.27,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,4,Apr,80.88,71.57,15.88,16.57,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,5,May,81.0,71.89,16.0,16.89,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,6,Jun,79.42,71.04,14.42,16.04,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,7,Jul,79.39,70.13,14.39,15.13,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,8,Aug,79.08,70.5,14.08,15.5,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,9,Sep,79.63,70.84,14.63,15.84,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,10,Oct,80.34,70.99,15.34,15.99,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,11,Nov,80.15,70.9,15.15,15.9,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2022,12,Dec,80.47,71.47,15.47,16.47,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,1,Jan,81.86,72.05,16.86,17.05,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,2,Feb,81.65,72.18,16.65,17.18,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,3,Mar,81.53,72.23,16.53,17.23,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,4,Apr,82.12,72.17,17.12,17.17,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,5,May,82.41,72.71,17.41,17.71,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,6,Jun,81.12,71.71,16.12,16.71,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,7,Jul,80.09,71.11,15.09,16.11,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,8,Aug,80.85,71.5,15.85,16.5,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,9,Sep,81.15,72.47,16.15,17.47,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,10,Oct,81.67,72.23,16.67,17.23,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,11,Nov,81.99,72.33,16.99,17.33,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2023,12,Dec,81.81,72.45,16.81,17.45,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,1,Jan,82.27,72.85,17.27,17.85,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,2,Feb,82.15,72.72,17.15,17.72,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,3,Mar,83.19,72.43,18.19,17.43,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,4,Apr,83.01,72.68,18.01,17.68,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,5,May,82.86,73.42,17.86,18.42,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,6,Jun,81.52,71.88,16.52,16.88,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,7,Jul,80.99,72.04,15.99,17.04,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,8,Aug,81.18,72.04,16.18,17.04,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,9,Sep,81.71,72.17,16.71,17.17,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,10,Oct,82.84,72.73,17.84,17.73,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,11,Nov,81.79,72.84,16.79,17.84,Critical
2,Vile Parle (W),Mumbai,Commercial,65,55,2024,12,Dec,82.4,73.07,17.4,18.07,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2020,1,Jan,74.96,66.58,9.96,11.58,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,2,Feb,75.15,66.57,10.15,11.57,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,3,Mar,74.84,66.43,9.84,11.43,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,4,Apr,75.36,66.57,10.36,11.57,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,5,May,76.23,66.98,11.23,11.98,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,6,Jun,73.82,65.98,8.82,10.98,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,7,Jul,74.54,65.81,9.54,10.81,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,8,Aug,73.64,65.6,8.64,10.6,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,9,Sep,74.78,65.86,9.78,10.86,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,10,Oct,75.03,66.45,10.03,11.45,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,11,Nov,74.82,66.49,9.82,11.49,High
3,Andheri (W),Mumbai,Commercial,65,55,2020,12,Dec,74.33,66.4,9.33,11.4,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,1,Jan,77.92,68.65,12.92,13.65,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,2,Feb,78.29,68.41,13.29,13.41,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,3,Mar,77.87,68.83,12.87,13.83,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,4,Apr,78.73,68.71,13.73,13.71,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,5,May,78.85,69.2,13.85,14.2,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,6,Jun,76.71,68.19,11.71,13.19,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,7,Jul,76.76,67.78,11.76,12.78,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,8,Aug,76.92,67.92,11.92,12.92,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,9,Sep,77.23,68.43,12.23,13.43,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,10,Oct,78.18,68.35,13.18,13.35,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,11,Nov,78.54,68.41,13.54,13.41,High
3,Andheri (W),Mumbai,Commercial,65,55,2021,12,Dec,78.05,69.02,13.05,14.02,High
3,Andheri (W),Mumbai,Commercial,65,55,2022,1,Jan,80.48,70.68,15.48,15.68,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,2,Feb,80.14,70.5,15.14,15.5,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,3,Mar,80.22,70.87,15.22,15.87,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,4,Apr,80.81,70.76,15.81,15.76,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,5,May,81.17,71.16,16.17,16.16,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,6,Jun,79.64,70.13,14.64,15.13,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,7,Jul,78.85,69.69,13.85,14.69,High
3,Andheri (W),Mumbai,Commercial,65,55,2022,8,Aug,79.52,70.02,14.52,15.02,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,9,Sep,79.59,70.22,14.59,15.22,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,10,Oct,80.48,70.38,15.48,15.38,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,11,Nov,80.46,70.66,15.46,15.66,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2022,12,Dec,80.43,71.02,15.43,16.02,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,1,Jan,81.95,71.96,16.95,16.96,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,2,Feb,81.89,71.6,16.89,16.6,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,3,Mar,81.9,71.64,16.9,16.64,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,4,Apr,82.1,71.87,17.1,16.87,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,5,May,82.23,72.22,17.23,17.22,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,6,Jun,80.45,71.42,15.45,16.42,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,7,Jul,80.1,70.56,15.1,15.56,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,8,Aug,80.95,71.06,15.95,16.06,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,9,Sep,81.09,71.33,16.09,16.33,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,10,Oct,81.4,71.32,16.4,16.32,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,11,Nov,81.62,71.56,16.62,16.56,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2023,12,Dec,82.09,71.77,17.09,16.77,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,1,Jan,82.15,72.34,17.15,17.34,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,2,Feb,82.32,72.09,17.32,17.09,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,3,Mar,82.15,72.35,17.15,17.35,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,4,Apr,82.77,72.4,17.77,17.4,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,5,May,82.76,72.75,17.76,17.75,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,6,Jun,80.97,71.32,15.97,16.32,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,7,Jul,80.88,71.36,15.88,16.36,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,8,Aug,81.39,71.8,16.39,16.8,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,9,Sep,81.86,71.77,16.86,16.77,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,10,Oct,82.09,71.9,17.09,16.9,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,11,Nov,82.29,72.24,17.29,17.24,Critical
3,Andheri (W),Mumbai,Commercial,65,55,2024,12,Dec,82.6,72.23,17.6,17.23,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2020,1,Jan,73.66,65.71,8.66,10.71,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,2,Feb,73.27,65.28,8.27,10.28,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,3,Mar,73.71,65.22,8.71,10.22,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,4,Apr,73.87,65.5,8.87,10.5,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,5,May,74.03,65.55,9.03,10.55,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,6,Jun,72.51,64.7,7.51,9.7,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,7,Jul,72.64,64.59,7.64,9.59,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,8,Aug,73.05,64.35,8.05,9.35,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,9,Sep,72.96,64.84,7.96,9.84,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,10,Oct,73.86,64.94,8.86,9.94,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,11,Nov,73.15,65.18,8.15,10.18,High
4,Bandra (W),Mumbai,Commercial,65,55,2020,12,Dec,72.96,65.29,7.96,10.29,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,1,Jan,76.07,67.73,11.07,12.73,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,2,Feb,76.2,67.88,11.2,12.88,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,3,Mar,76.59,67.48,11.59,12.48,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,4,Apr,76.33,67.9,11.33,12.9,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,5,May,76.4,68.37,11.4,13.37,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,6,Jun,75.65,66.81,10.65,11.81,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,7,Jul,74.49,66.97,9.49,11.97,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,8,Aug,75.17,67.05,10.17,12.05,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,9,Sep,75.02,66.98,10.02,11.98,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,10,Oct,76.0,67.41,11.0,12.41,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,11,Nov,76.06,67.72,11.06,12.72,High
4,Bandra (W),Mumbai,Commercial,65,55,2021,12,Dec,76.08,67.67,11.08,12.67,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,1,Jan,78.74,69.7,13.74,14.7,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,2,Feb,78.71,69.18,13.71,14.18,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,3,Mar,78.24,69.76,13.24,14.76,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,4,Apr,79.1,69.55,14.1,14.55,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,5,May,79.67,69.92,14.67,14.92,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,6,Jun,78.05,68.81,13.05,13.81,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,7,Jul,78.02,68.95,13.02,13.95,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,8,Aug,77.53,68.89,12.53,13.89,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,9,Sep,78.09,69.27,13.09,14.27,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,10,Oct,78.11,69.44,13.11,14.44,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,11,Nov,78.92,69.15,13.92,14.15,High
4,Bandra (W),Mumbai,Commercial,65,55,2022,12,Dec,78.45,69.19,13.45,14.19,High
4,Bandra (W),Mumbai,Commercial,65,55,2023,1,Jan,79.92,70.74,14.92,15.74,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,2,Feb,80.25,70.41,15.25,15.41,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,3,Mar,80.49,70.22,15.49,15.22,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,4,Apr,79.79,70.69,14.79,15.69,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,5,May,80.62,70.89,15.62,15.89,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,6,Jun,78.38,69.78,13.38,14.78,High
4,Bandra (W),Mumbai,Commercial,65,55,2023,7,Jul,78.31,69.73,13.31,14.73,High
4,Bandra (W),Mumbai,Commercial,65,55,2023,8,Aug,79.01,69.51,14.01,14.51,High
4,Bandra (W),Mumbai,Commercial,65,55,2023,9,Sep,79.05,69.79,14.05,14.79,High
4,Bandra (W),Mumbai,Commercial,65,55,2023,10,Oct,79.68,70.49,14.68,15.49,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,11,Nov,79.6,70.6,14.6,15.6,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2023,12,Dec,79.94,70.44,14.94,15.44,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,1,Jan,80.67,70.99,15.67,15.99,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,2,Feb,80.33,70.76,15.33,15.76,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,3,Mar,81.29,71.11,16.29,16.11,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,4,Apr,80.79,71.34,15.79,16.34,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,5,May,81.17,71.46,16.17,16.46,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,6,Jun,79.88,70.55,14.88,15.55,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,7,Jul,79.24,70.08,14.24,15.08,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,8,Aug,79.52,69.84,14.52,14.84,High
4,Bandra (W),Mumbai,Commercial,65,55,2024,9,Sep,79.45,70.87,14.45,15.87,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,10,Oct,80.89,70.85,15.89,15.85,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,11,Nov,80.77,71.16,15.77,16.16,Critical
4,Bandra (W),Mumbai,Commercial,65,55,2024,12,Dec,81.72,71.42,16.72,16.42,Critical
5,Lower Parel,Mumbai,Industrial,75,70,2020,1,Jan,73.46,68.71,-1.54,-1.29,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,2,Feb,72.82,68.74,-2.18,-1.26,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,3,Mar,73.27,68.52,-1.73,-1.48,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,4,Apr,73.61,68.78,-1.39,-1.22,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,5,May,74.51,69.38,-0.49,-0.62,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,6,Jun,72.5,68.4,-2.5,-1.6,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,7,Jul,72.22,67.73,-2.78,-2.27,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,8,Aug,72.86,68.11,-2.14,-1.89,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,9,Sep,72.39,68.26,-2.61,-1.74,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,10,Oct,72.94,68.32,-2.06,-1.68,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,11,Nov,73.68,69.18,-1.32,-0.82,Low
5,Lower Parel,Mumbai,Industrial,75,70,2020,12,Dec,73.18,69.01,-1.82,-0.99,Low
5,Lower Parel,Mumbai,Industrial,75,70,2021,1,Jan,75.5,70.6,0.5,0.6,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,2,Feb,75.32,70.33,0.32,0.33,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,3,Mar,75.71,70.43,0.71,0.43,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,4,Apr,76.08,70.79,1.08,0.79,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,5,May,76.13,70.82,1.13,0.82,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,6,Jun,74.53,70.05,-0.47,0.05,Moderate
5,Lower Parel,Mumbai,Industrial,75,70,2021,7,Jul,74.55,69.5,-0.45,-0.5,Low
5,Lower Parel,Mumbai,Industrial,75,70,2021,8,Aug,74.63,69.95,-0.37,-0.05,Low
5,Lower Parel,Mumbai,Industrial,75,70,2021,9,Sep,74.4,70.21,-0.6,0.21,Moderate
